w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,ft
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,2.5
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,2.5
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,2.86
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,3
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,2.8
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,2.8
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,3
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,3
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,4.622138365
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,3.190345912
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,2.268081761
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,4.040377358
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,4.071823899
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,3.258144654
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,1.911849057
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,2.774172956
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,2.576157233
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,2.269062893
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,2.741745283
