w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,ft
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,25.46,3.148427673
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,25.46,3.144654088
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,31.83,2.987421384
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,28.65,3.144654088
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,31.83,3.005031447
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,28.65,3.050314465
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,15.28,1.698113208
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,15.92,1.729559748
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,19.1,1.794496855
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,19.1,1.760566038
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,21.01,1.726289308
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,21.01,1.713836478
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,22.92,2.013207547
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,22.92,2.073899371
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,23.55,2.104402516
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,24.19,2.051257862
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,24.83,1.91918239
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,23.55,1.90754717
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,25.46,2.48490566
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,25.46,2.536163522
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,31.83,2.767610063
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,28.65,2.720754717
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,31.83,2.822327044
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,28.65,2.71163522
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,15.28,1.390880503
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,19.1,1.41509434
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,22.28,1.476415094
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,22.92,1.460377358
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,22.92,1.572327044
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,22.92,1.516037736
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,1.790880503
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,1.743396226
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,1.868867925
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,1.729559748
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,1.820754717
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,1.761006289
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,2.298427673
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,29.28,2.074213836
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,2.159119497
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,2.075471698
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,2.044025157
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,2.086477987
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,18.46,1.572327044
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,17.83,1.572327044
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,19.1,1.729559748
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,19.1,1.729559748
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,20.37,2.044025157
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,21.01,2.044025157
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.28,2.358490566
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.28,3.144654088
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.92,3.144654088
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.92,3.144654088
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.92,3.144654088
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.28,2.51572327
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,25.46,3.616352201
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,26.1,3.459119497
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,26.1,3.427672956
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,26.74,3.490566038
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,28.65,3.333333333
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,29.28,3.396226415
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,15.28,1.41509434
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,15.92,1.572327044
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,16.55,1.572327044
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,16.55,1.729559748
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,17.19,2.044025157
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,17.83,2.044025157
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.1,2.51572327
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.1,2.672955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.1,2.201257862
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.1,2.51572327
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.1,2.358490566
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.1,2.672955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,25.46,2.358490566
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,25.46,2.51572327
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,25.46,2.672955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,26.1,2.672955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,26.1,2.987421384
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,25.46,3.144654088
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,16.55,1.572327044
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,15.28,1.572327044
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,15.28,1.886792453
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,15.92,2.044025157
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,15.92,2.044025157
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,16.55,2.044025157
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.1,2.201257862
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.1,2.106918239
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.1,2.13836478
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.1,2.13836478
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.1,2.201257862
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,21.01,2.201257862
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,23.55,2.358490566
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,22.92,2.358490566
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,22.92,2.51572327
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,22.92,2.51572327
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,23.55,2.51572327
