w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,26.10,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.59,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.59,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.59,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,20.37,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,22.28,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,22.92,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,21.65,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,21.01,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,20.37,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,25.46,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,31.83,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,28.65,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,25.46,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,28.65,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,25.46,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,35.91,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,36.16,,,,
